Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,28.379999,28.500000,27.889999,28.070000,27.092106,7629300
2019-01-02,27.650000,28.959999,27.559999,28.850000,27.844934,11190300
2019-01-03,28.629999,28.820000,28.280001,28.320000,27.333401,10803900
2019-01-04,28.600000,29.080000,28.330000,28.969999,27.960754,14593700
2019-01-07,28.959999,29.650000,28.930000,29.469999,28.443335,13419400
2019-01-08,29.740000,30.080000,29.400000,30.000000,28.954874,8179700
2019-01-09,29.990000,30.400000,29.740000,30.290001,29.234770,10607500
2019-01-10,30.129999,30.639999,30.010000,30.570000,29.505014,8741400
2019-01-11,30.150000,30.540001,29.420000,30.410000,29.350586,13390900
2019-01-14,30.180000,30.280001,29.990000,30.209999,29.157555,7523000
2019-01-15,30.299999,30.750000,30.270000,30.670000,29.601530,7154900
2019-01-16,30.660000,30.700001,30.270000,30.290001,29.234770,12725700
2019-01-17,30.150000,30.549999,30.059999,30.379999,29.321632,12818500
2019-01-18,30.610001,31.020000,30.440001,31.000000,29.920033,13839700
2019-01-22,34.340000,34.750000,32.730000,32.900002,31.753851,56378700
2019-01-23,33.400002,33.529999,32.459999,32.610001,31.473948,19280600
2019-01-24,32.700001,32.860001,32.330002,32.650002,31.512554,11974800
2019-01-25,32.950001,33.759998,32.799999,33.720001,32.545273,17028800
2019-01-28,33.490002,34.230000,33.400002,34.020000,32.834824,22325500
2019-01-29,34.369999,34.430000,33.540001,33.689999,32.516323,19304100
2019-01-30,33.970001,34.320000,32.880001,34.080002,32.892738,27338600
2019-01-31,33.759998,33.990002,32.770000,33.650002,32.477711,24996900
2019-02-01,33.750000,34.480000,33.630001,34.310001,33.114723,19113800
2019-02-04,34.549999,35.200001,34.200001,35.049999,33.828941,19798500
2019-02-05,35.270000,35.529999,35.070000,35.330002,34.099190,13738200
2019-02-06,35.119999,35.709999,35.000000,35.480000,34.243958,11340000
2019-02-07,35.220001,35.389999,34.820000,35.250000,34.021973,9211000
2019-02-08,35.000000,35.320000,34.910000,35.259998,34.031620,10228000
2019-02-11,35.480000,35.900002,35.320000,35.590000,34.350132,9638400
2019-02-12,35.590000,36.270000,35.209999,36.189999,34.929222,12684800
2019-02-13,36.209999,36.540001,36.160000,36.259998,34.996788,7378000
2019-02-14,36.040001,36.560001,35.980000,36.320000,35.054699,6874500
2019-02-15,36.610001,36.830002,36.419998,36.580002,35.305641,10273100
2019-02-19,36.549999,37.130001,36.459999,37.049999,35.759266,12312100
2019-02-20,37.020000,37.250000,36.689999,36.740002,35.460072,11698700
2019-02-21,36.630001,37.130001,36.500000,36.980000,35.691704,8151600
2019-02-22,36.990002,37.500000,36.970001,37.490002,36.183933,6820600
2019-02-25,37.750000,37.889999,37.310001,37.340000,36.039165,10147800
2019-02-26,37.340000,37.549999,37.060001,37.380001,36.077774,12788000
2019-02-27,37.450001,38.020000,37.279999,37.580002,36.270802,10571100
2019-02-28,37.500000,37.500000,37.099998,37.150002,35.989861,7462700
2019-03-01,38.360001,39.139999,37.180000,37.349998,36.183613,17271800
2019-03-04,37.480000,37.580002,36.700001,37.250000,36.086735,11304000
2019-03-05,37.200001,37.490002,37.110001,37.119999,35.960796,12174400
2019-03-06,37.139999,37.540001,36.799999,36.810001,35.660480,10885400
2019-03-07,36.730000,36.779999,36.080002,36.209999,35.079212,14928000
2019-03-08,36.020000,36.020000,35.509998,35.889999,34.769207,16417000
2019-03-11,35.930000,36.340000,35.820000,36.250000,35.117970,15306400
2019-03-12,36.439999,36.490002,36.110001,36.279999,35.147022,10660900
2019-03-13,36.299999,36.740002,36.160000,36.459999,35.321407,13247800
2019-03-14,36.380001,36.619999,36.169998,36.349998,35.214844,10560900
2019-03-15,36.349998,36.580002,36.020000,36.299999,35.166405,24454100
2019-03-18,36.310001,36.580002,36.180000,36.270000,35.137341,9328100
2019-03-19,36.459999,37.200001,36.400002,36.869999,35.718601,14686900
2019-03-20,36.759998,36.910000,36.570000,36.700001,35.553909,11905400
2019-03-21,36.740002,37.389999,36.580002,37.200001,36.038300,10661100
2019-03-22,37.060001,37.439999,36.490002,36.650002,35.505474,8449100
2019-03-25,36.590000,36.810001,36.279999,36.720001,35.573292,5482100
2019-03-26,36.919998,37.090000,36.639999,36.900002,35.747669,7926700
2019-03-27,36.950001,37.090000,36.580002,36.830002,35.679855,8223000
2019-03-28,36.919998,37.430000,36.619999,36.779999,35.631416,9806800
2019-03-29,36.950001,37.169998,36.869999,37.139999,35.980171,8636400
2019-04-01,37.410000,37.770000,37.360001,37.680000,36.503307,6664100
2019-04-02,37.799999,38.180000,37.619999,37.919998,36.735817,7396500
2019-04-03,38.180000,38.240002,37.860001,37.990002,36.803631,10032400
2019-04-04,37.880001,38.180000,37.830002,38.049999,36.861755,6372500
2019-04-05,38.110001,38.330002,37.740002,37.840000,36.658314,7907400
2019-04-08,37.790001,37.990002,37.700001,37.810001,36.629246,6982600
