Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,169.119995,170.720001,168.410004,169.940002,166.156204,944800
2019-01-02,169.270004,171.270004,167.000000,169.850006,166.068222,1362200
2019-01-03,169.289993,169.399994,163.990005,164.369995,160.710205,1569500
2019-01-04,167.029999,172.919998,166.639999,172.259995,168.424530,1946800
2019-01-07,171.910004,175.320007,171.910004,173.639999,169.773804,1820500
2019-01-08,174.759995,175.250000,173.050003,175.229996,171.328415,1426700
2019-01-09,175.139999,176.289993,173.279999,173.660004,169.793381,1280100
2019-01-10,173.419998,177.300003,172.899994,177.149994,173.205658,1406100
2019-01-11,176.910004,177.720001,175.169998,175.979996,172.061722,1018800
2019-01-14,174.330002,177.580002,174.009995,177.020004,173.078568,1396900
2019-01-15,176.419998,181.770004,176.119995,181.619995,177.576126,1455000
2019-01-16,182.399994,185.740005,182.000000,185.000000,180.880890,1995300
2019-01-17,183.740005,186.000000,183.350006,185.320007,181.193756,1178600
2019-01-18,186.509995,188.809998,185.610001,188.639999,184.439865,1424200
2019-01-22,187.929993,188.470001,186.259995,187.289993,183.119888,4011400
2019-01-23,187.539993,188.720001,186.759995,187.600006,183.423004,2519300
2019-01-24,187.500000,189.559998,187.220001,188.570007,184.371384,1684800
2019-01-25,189.889999,190.559998,188.520004,189.309998,185.094910,1070800
2019-01-28,188.070007,188.350006,185.080002,188.160004,183.970520,1763800
2019-01-29,187.729996,188.130005,185.759995,186.350006,182.200821,1220800
2019-01-30,186.990005,189.399994,185.589996,189.009995,184.801590,1215600
2019-01-31,188.639999,191.850006,187.520004,191.649994,187.382797,1624000
2019-02-01,192.100006,195.160004,191.160004,193.830002,189.514267,1147300
2019-02-04,194.089996,194.889999,192.110001,194.410004,190.081360,1502700
2019-02-05,194.600006,195.580002,193.899994,194.899994,190.560440,1420700
2019-02-06,194.720001,195.089996,192.850006,192.949997,188.653870,1721300
2019-02-07,191.000000,197.029999,187.309998,195.000000,190.658234,2398500
2019-02-08,189.770004,193.720001,189.210007,193.589996,189.279617,1845200
2019-02-11,193.729996,195.470001,192.839996,194.130005,189.807587,1519900
2019-02-12,195.740005,196.309998,194.679993,195.250000,190.902664,1136700
2019-02-13,196.000000,197.800003,195.330002,197.179993,192.789688,1410900
2019-02-14,195.949997,196.740005,194.809998,195.869995,191.508835,1033000
2019-02-15,197.460007,198.990005,196.610001,198.320007,193.904312,1106800
2019-02-19,197.889999,198.309998,197.350006,197.649994,193.249207,1013600
2019-02-20,198.139999,198.460007,197.119995,198.020004,193.611008,1266900
2019-02-21,197.520004,198.539993,197.000000,198.149994,193.738068,1100000
2019-02-22,199.149994,202.000000,198.899994,201.880005,197.385040,987600
2019-02-25,202.970001,204.270004,201.539993,201.940002,198.002762,1166800
2019-02-26,201.500000,202.619995,201.020004,201.479996,197.551712,1054000
2019-02-27,201.119995,202.289993,200.240005,201.720001,197.787033,1054900
