Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,63.320000,63.650002,62.410000,63.610001,63.610001,3112500
2019-01-02,62.869999,65.330002,62.549999,65.260002,65.260002,4418600
2019-01-03,64.550003,66.239998,64.110001,65.019997,65.019997,3390700
2019-01-04,65.879997,67.559998,65.550003,67.489998,67.489998,5490200
2019-01-07,67.370003,68.610001,67.010002,68.440002,68.440002,4786900
2019-01-08,68.669998,68.680000,67.370003,67.769997,67.769997,6052700
2019-01-09,68.650002,68.669998,67.120003,67.720001,67.720001,4498600
2019-01-10,67.440002,68.860001,67.220001,67.959999,67.959999,3230800
2019-01-11,67.830002,69.059998,67.400002,69.000000,69.000000,4177300
2019-01-14,68.410004,68.519997,67.419998,67.910004,67.910004,2691000
2019-01-15,67.809998,68.559998,66.699997,67.139999,67.139999,5366700
2019-01-16,67.510002,67.610001,66.379997,66.690002,66.690002,3261000
2019-01-17,66.720001,66.750000,65.639999,66.250000,66.250000,3357400
2019-01-18,67.110001,68.050003,66.370003,66.959999,66.959999,4766500
2019-01-22,66.750000,67.190002,66.199997,66.830002,66.830002,2971200
2019-01-23,66.800003,67.849998,66.570000,67.800003,67.800003,1979500
2019-01-24,67.720001,68.660004,67.220001,68.660004,68.660004,2849800
2019-01-25,68.930000,69.269997,68.199997,68.480003,68.480003,4940400
2019-01-28,67.870003,68.489998,67.059998,67.620003,67.620003,2958100
2019-01-29,67.660004,67.940002,66.629997,67.779999,67.779999,2340100
2019-01-30,67.739998,68.690002,67.089996,68.320000,68.320000,2318300
2019-01-31,68.410004,70.120003,68.029999,69.620003,69.620003,5816100
2019-02-01,69.459999,69.779999,69.080002,69.629997,69.629997,3117900
2019-02-04,69.410004,69.629997,68.879997,69.410004,69.410004,1926200
2019-02-05,69.699997,69.699997,66.800003,66.849998,66.849998,5001100
2019-02-06,66.800003,67.300003,66.540001,66.940002,66.940002,4334500
2019-02-07,68.000000,68.459999,65.559998,68.279999,68.279999,7554600
2019-02-08,67.639999,68.470001,66.949997,68.379997,68.379997,4129500
2019-02-11,68.169998,69.180000,68.000000,68.440002,68.440002,2644100
2019-02-12,69.000000,69.669998,68.500000,69.599998,69.599998,2630700
2019-02-13,69.610001,69.959999,68.860001,69.070000,69.070000,4742400
2019-02-14,69.099998,70.519997,69.010002,70.500000,70.500000,3200300
2019-02-15,70.650002,72.070000,70.430000,72.050003,72.050003,5711300
2019-02-19,72.010002,72.860001,71.760002,72.519997,72.519997,3672800
2019-02-20,72.459999,73.080002,72.169998,72.750000,72.750000,4476900
2019-02-21,72.570000,73.760002,72.389999,73.410004,73.410004,4561200
2019-02-22,73.800003,74.059998,72.970001,73.199997,73.199997,2522000
2019-02-25,73.370003,73.529999,72.620003,73.050003,73.050003,2400400
2019-02-26,71.440002,72.970001,71.250000,72.529999,72.529999,2915400
2019-02-27,72.129997,72.529999,71.769997,72.120003,72.120003,2742600
2019-02-28,72.080002,72.699997,71.919998,72.209999,72.209999,3072600
2019-03-01,72.389999,72.599998,71.779999,72.339996,72.339996,1883600
2019-03-04,72.239998,72.339996,71.279999,71.650002,71.650002,2439400
2019-03-05,71.750000,71.980003,71.279999,71.410004,71.410004,1725600
2019-03-06,71.410004,71.599998,69.989998,70.779999,70.779999,4375400
2019-03-07,70.620003,71.379997,70.519997,71.320000,71.320000,2309300
2019-03-08,70.930000,71.250000,70.180000,70.650002,70.650002,3573400
2019-03-11,70.830002,71.580002,70.410004,71.470001,71.470001,2493100
2019-03-12,71.470001,72.129997,71.250000,71.699997,71.699997,2773200
2019-03-13,72.120003,72.480003,71.680000,72.250000,72.250000,1920400
2019-03-14,72.250000,72.440002,71.940002,72.339996,72.339996,1653300
2019-03-15,72.760002,73.500000,72.099998,73.459999,73.459999,2806200
2019-03-18,73.279999,73.910004,72.949997,73.680000,73.680000,2945300
2019-03-19,74.000000,74.059998,72.410004,72.589996,72.589996,4188100
2019-03-20,72.800003,72.930000,72.010002,72.059998,72.059998,3136200
2019-03-21,72.080002,72.739998,71.989998,72.260002,72.260002,2329200
2019-03-22,71.930000,72.470001,71.809998,71.900002,71.900002,3265900
2019-03-25,71.849998,72.410004,71.639999,72.309998,72.309998,1972400
2019-03-26,72.580002,73.360001,72.370003,73.339996,73.339996,2857200
2019-03-27,73.389999,73.790001,71.959999,72.239998,72.239998,4989700
2019-03-28,71.980003,72.250000,68.919998,69.150002,69.150002,5866500
2019-03-29,69.330002,69.489998,68.160004,69.099998,69.099998,5051900
2019-04-01,69.540001,70.040001,69.269997,69.970001,69.970001,3808300
2019-04-02,69.809998,70.160004,69.220001,69.730003,69.730003,3913300
2019-04-03,69.820000,70.019997,68.699997,69.000000,69.000000,3077500
2019-04-04,69.080002,70.129997,69.000000,70.050003,70.050003,3037100
2019-04-05,70.480003,70.750000,70.050003,70.349998,70.349998,3483100
2019-04-08,70.139999,71.239998,69.769997,71.230003,71.230003,4035400
2019-04-09,70.959999,71.660004,70.269997,71.419998,71.419998,2866800
2019-04-10,71.550003,72.330002,71.190002,72.160004,72.160004,2629900
2019-04-11,72.150002,73.010002,71.839996,73.000000,73.000000,2535700
2019-04-12,73.190002,73.879997,72.870003,73.709999,73.709999,2858700
2019-04-15,73.709999,73.860001,73.190002,73.790001,73.790001,2194500
2019-04-16,74.000000,74.269997,73.519997,74.099998,74.099998,2834500
2019-04-17,72.720001,74.309998,71.300003,72.459999,72.459999,7576000
2019-04-18,73.220001,73.779999,72.570000,73.750000,73.750000,2746800
2019-04-22,73.760002,73.860001,73.010002,73.720001,73.720001,1912400
2019-04-23,73.559998,74.000000,73.050003,73.750000,73.750000,2180400
2019-04-24,73.389999,73.870003,72.720001,73.330002,73.330002,2373500
2019-04-25,72.699997,73.580002,72.510002,72.709999,72.709999,3365800
2019-04-26,74.730003,74.730003,72.599998,72.919998,72.919998,3561900
2019-04-29,72.940002,73.820000,72.500000,73.599998,73.599998,2631300
2019-04-30,73.470001,73.739998,72.550003,72.989998,72.989998,3064900
2019-05-01,73.139999,74.110001,73.040001,73.580002,73.580002,2941100
2019-05-02,73.779999,73.949997,72.660004,73.610001,73.610001,2269300
2019-05-03,73.709999,74.779999,73.400002,74.739998,74.739998,2588800
2019-05-06,73.879997,74.510002,73.339996,74.459999,74.459999,1875700
2019-05-07,73.800003,74.449997,73.540001,74.000000,74.000000,2594800
2019-05-08,73.959999,73.959999,72.480003,72.629997,72.629997,2849200
2019-05-09,72.300003,74.400002,72.250000,74.250000,74.250000,3319800
2019-05-10,74.000000,75.320000,73.540001,75.230003,75.230003,3360500
2019-05-13,74.379997,74.739998,73.250000,73.419998,73.419998,3476800
2019-05-14,73.419998,73.870003,73.040001,73.599998,73.599998,2987100
2019-05-15,73.370003,74.779999,73.050003,74.629997,74.629997,3798200
2019-05-16,74.480003,77.129997,74.250000,75.379997,75.379997,4946400
2019-05-17,75.389999,76.320000,75.019997,75.370003,75.370003,3619000
2019-05-20,79.870003,80.930000,75.720001,78.290001,78.290001,20102700
2019-05-21,78.160004,78.290001,76.779999,77.150002,77.150002,6339000
2019-05-22,76.489998,77.129997,76.139999,76.349998,76.349998,3287300
2019-05-23,76.260002,77.000000,75.250000,76.010002,76.010002,3887000
2019-05-24,76.500000,77.449997,75.629997,77.269997,77.269997,3579500
2019-05-28,77.550003,77.980003,75.889999,75.910004,75.910004,5391300
2019-05-29,75.820000,76.650002,75.290001,76.129997,76.129997,3540700
2019-05-30,76.040001,76.570000,75.019997,76.029999,76.029999,4111900
2019-05-31,74.809998,75.250000,73.279999,73.440002,73.440002,5147800
2019-06-03,73.620003,74.639999,73.370003,74.199997,74.199997,2941000
2019-06-04,74.629997,75.739998,74.519997,75.690002,75.690002,3144700
2019-06-05,75.940002,76.550003,75.669998,76.290001,76.290001,1970200
2019-06-06,76.139999,76.440002,74.610001,75.949997,75.949997,2671000
2019-06-07,76.550003,77.139999,76.309998,77.029999,77.029999,2256600
2019-06-10,77.059998,77.379997,76.379997,76.669998,76.669998,3096000
2019-06-11,77.129997,77.459999,74.629997,75.459999,75.459999,3822500
2019-06-12,75.830002,75.900002,74.650002,75.379997,75.379997,3296200
2019-06-13,75.169998,75.279999,74.010002,74.449997,74.449997,4279700
2019-06-14,74.669998,78.000000,74.279999,74.900002,74.900002,4813600
2019-06-17,75.080002,75.430000,74.540001,75.269997,75.269997,2929000
2019-06-18,75.940002,77.129997,75.550003,76.440002,76.440002,4995900
2019-06-19,76.339996,78.500000,76.339996,78.279999,78.279999,3377800
2019-06-20,79.110001,79.260002,77.150002,77.930000,77.930000,3339500
2019-06-21,77.709999,77.750000,75.199997,75.699997,75.699997,5223900
2019-06-24,76.019997,76.550003,75.379997,75.540001,75.540001,2123000
2019-06-25,75.470001,75.500000,74.449997,74.580002,74.580002,2593900
2019-06-26,74.279999,74.400002,72.769997,73.040001,73.040001,4393300
2019-06-27,73.449997,73.720001,72.919998,73.290001,73.290001,2319600
2019-06-28,73.290001,74.489998,72.900002,74.139999,74.139999,4117800
2019-07-01,74.669998,74.669998,73.919998,74.150002,74.150002,2226100
2019-07-02,74.400002,75.779999,73.919998,75.480003,75.480003,2871700
2019-07-03,75.889999,77.029999,75.599998,75.820000,75.820000,2080900
2019-07-05,75.830002,76.430000,75.629997,76.230003,76.230003,1318500
2019-07-08,76.370003,76.389999,75.430000,75.629997,75.629997,1667300
2019-07-09,75.349998,75.830002,75.080002,75.150002,75.150002,3553000
2019-07-10,77.959999,78.949997,77.570000,78.629997,78.629997,14441200
2019-07-11,78.730003,78.879997,76.949997,78.260002,78.260002,10108700
2019-07-12,78.199997,79.730003,78.010002,79.449997,79.449997,63068400
2019-07-15,79.669998,80.000000,78.589996,79.309998,79.309998,6189800
2019-07-16,79.349998,79.589996,78.830002,79.040001,79.040001,5234900
2019-07-17,79.230003,79.459999,78.900002,78.930000,78.930000,3238100
2019-07-18,78.779999,79.070000,77.269997,77.970001,77.970001,6372500
2019-07-19,77.989998,77.989998,76.940002,77.430000,77.430000,5311800
2019-07-22,77.800003,78.660004,77.269997,77.660004,77.660004,4694700
2019-07-23,77.739998,78.160004,76.949997,78.139999,78.139999,3507800
2019-07-24,79.199997,81.570000,78.830002,80.610001,80.610001,10198400
2019-07-25,81.360001,81.410004,79.709999,79.910004,79.910004,5501600
2019-07-26,81.099998,85.220001,80.949997,84.250000,84.250000,12333200
2019-07-29,84.629997,84.790001,81.919998,82.379997,82.379997,5858900
2019-07-30,81.699997,82.330002,81.019997,81.300003,81.300003,5285000
2019-07-31,81.220001,81.650002,78.949997,79.730003,79.730003,4596600
2019-08-01,79.989998,80.309998,78.769997,79.309998,79.309998,4761400
2019-08-02,79.389999,79.389999,76.790001,77.730003,77.730003,5428000
2019-08-05,76.849998,77.000000,75.620003,76.190002,76.190002,4046200
2019-08-06,76.510002,77.320000,75.970001,77.279999,77.279999,4010400
