Date,Open,High,Low,Close,Adj Close,Volume,indicator,7dayMA
2018-12-31,67.557999,67.842003,65.052002,66.559998,66.559998,31511500,0.0,66.559998
2019-01-02,61.220001,63.026001,59.759998,62.023998,62.023998,58293000,0.0,64.29199799999999
2019-01-03,61.400002,61.880001,59.476002,60.071999,60.071999,34826000,0.0,62.885331666666666
2019-01-04,61.200001,63.599998,60.546001,63.537998,63.537998,36970500,1.0,63.048498249999994
2019-01-07,64.344002,67.348,63.549999,66.991997,66.991997,37756000,1.0,63.83719799999999
2019-01-08,68.391998,68.802002,65.403999,67.07,67.07,35042500,1.0,64.37599833333333
2019-01-09,67.099998,68.699997,66.293999,67.706001,67.706001,27164500,1.0,64.851713
2019-01-10,66.879997,69.07800300000001,66.358002,68.994003,68.994003,30282000,1.0,65.44346871428571
2019-01-11,68.417999,69.681999,67.753998,69.452003,69.452003,25195500,1.0,66.01611646938775
2019-01-14,68.475998,68.5,66.800003,66.879997,66.879997,26236500,0.0,66.13952797376093
2019-01-15,67.0,69.760002,66.900002,68.886002,68.886002,30283000,1.0,66.5318814060808
2019-01-16,68.956001,70.400002,68.699997,69.209999,69.209999,23458500,1.0,66.91446963378354
2019-01-17,69.241997,70.300003,68.83000200000001,69.461998,69.461998,18383500,1.0,67.27840225752875
2019-01-18,64.599998,65.42600300000001,59.945999,60.452,60.452,120754000,0.0,66.30320193502465
2019-01-22,60.964001,61.599998,59.099998,59.784,59.784,60333500,0.0,65.37188737287826
2019-01-23,58.5,58.900002,56.338001,57.518002,57.518002,62650000,0.0,64.24990374818137
2019-01-24,56.605999,58.736000000000004,55.855999,58.301998,58.301998,40061000,1.0,63.40020292701259
2019-01-25,58.877998,59.703999,57.91,59.408001,59.408001,36248000,1.0,62.82988836601079
2019-01-28,58.582001,59.492001,57.549999,59.276001,59.276001,32116500,0.0,62.3221901708664
2019-01-29,59.054001,59.71200200000001,58.360001,59.492001,59.492001,23108500,1.0,61.9178774321712
2019-01-30,60.09,61.799999,59.698002,61.754002,61.754002,56251500,1.0,61.89446665614675
2019-01-31,60.200001,62.312,58.799999,61.403999,61.403999,62846000,0.0,61.824399848125786
2019-02-01,61.083999999999996,63.220001,60.700001,62.442001,62.442001,36417000,1.0,61.91262858410782
2019-02-04,62.596001,63.060001,60.375999,62.577999,62.577999,36760500,1.0,62.00768150066384
2019-02-05,62.498001,64.487999,62.450001,64.269997,64.269997,33714000,1.0,62.330869429140435
2019-02-06,63.917999,64.848,63.124001,63.443999999999996,63.443999999999996,25192500,0.0,62.48988808212038
2019-02-07,62.66,62.939999,60.599998,61.501999,61.501999,32603000,0.0,62.348761070388896
2019-02-08,61.366001,61.490002,59.700001,61.16,61.16,29221000,0.0,62.178938060333344
2019-02-11,62.32,63.720001,62.099998,62.568001,62.568001,35648500,1.0,62.23451848028572
2019-02-12,63.240002,63.638000000000005,61.924,62.361999999999995,62.361999999999995,27588000,0.0,62.2527301259592
2019-02-13,62.470001,62.549999,61.113998,61.633999,61.633999,25708000,0.0,62.164339965107885
2019-02-14,60.675999,61.354,60.200001,60.754002,60.754002,26004000,0.0,61.96286311294961
2019-02-15,60.900002,61.599998,60.779999,61.576,61.576,19524500,1.0,61.90759695395682
2019-02-19,61.312,62.307999,61.094002,61.127998,61.127998,20842000,0.0,61.79622567482013
2019-02-20,60.882,61.259998,59.799999,60.512001,60.512001,35710500,0.0,61.61276500698868
2019-02-21,60.361999999999995,60.647999,58.099998,58.245998,58.245998,44546000,0.0,61.13179829170458
2019-02-22,58.897999,59.299999,58.419998,58.942001,58.942001,28703000,1.0,60.81897010717535
2019-02-25,59.582001,60.580002,59.400002,59.754002,59.754002,33132500,1.0,60.666831806150306
2019-02-26,58.443999999999996,60.402,57.754002,59.571999,59.571999,42912500,0.0,60.510427119557406
2019-02-27,60.355999,63.259998,60.110001,62.948002,62.948002,55919500,1.0,60.85865210247778
2019-02-28,63.784,64.0,62.161999,63.976002,63.976002,52603500,1.0,61.30398780212381
2019-03-01,61.388000000000005,61.425999,58.380001,58.958,58.958,114557000,0.0,60.9688466875347
2019-03-04,59.624001,59.799999,56.556000000000004,57.071999,57.071999,85484000,0.0,60.41215416074403
2019-03-05,56.400002,56.799999,54.02,55.307999,55.307999,93823500,0.0,59.6829891377806
2019-03-06,55.296001,56.301998,54.877998,55.248001,55.248001,51677500,0.0,59.049419403811946
2019-03-07,55.768002,56.939999,54.849998,55.318001,55.318001,47212500,1.0,58.5163596318388
2019-03-08,55.382,57.118,55.178001,56.827999,56.827999,44098000,1.0,58.27516525586183
2019-03-11,56.703999,58.256001,56.099998,58.183998,58.183998,36961500,1.0,58.26214136216728
2019-03-12,57.298,57.613998,56.21200200000001,56.672001,56.672001,37520500,0.0,58.034978453286236
2019-03-13,56.779999,58.397999,56.540001,57.792,57.792,34223500,1.0,58.00026724567392
2019-03-14,58.490002,59.077999,57.658001,57.992001,57.992001,35517000,1.0,57.99908635343479
2019-03-15,56.702,56.743999,54.880001,55.085999,55.085999,73927500,0.0,57.582931017229825
2019-03-18,55.200001,55.610001,53.459999,53.897999,53.897999,51405000,0.0,57.05651215762556
2019-03-19,53.5,54.66,52.692001,53.493999,53.493999,59003000,0.0,56.54758170653621
2019-03-20,53.938,54.993999,53.259998,54.720001,54.720001,34541000,1.0,56.28649874845961
2019-03-21,54.52,55.290001,53.689999,54.804001,54.804001,29735500,1.0,56.07471335582251
2019-03-22,54.515999,54.560001,52.799999,52.905998,52.905998,43728000,0.0,55.622039733562154
2019-03-25,51.942001,52.63600200000001,50.891998,52.083999999999996,52.083999999999996,51075000,0.0,55.11660548591042
2019-03-26,52.888000000000005,54.051998,52.88600200000001,53.554001,53.554001,36754500,1.0,54.8933762736375
2019-03-27,53.75,55.074001,53.63600200000001,54.966,54.966,43896000,1.0,54.90375109168929
2019-03-28,55.431999,56.06600200000001,55.02,55.723999,55.723999,33870500,1.0,55.020929364305104
2019-03-29,55.740002,56.032001,54.900002,55.972,55.972,29956500,1.0,55.1567965979758
2019-04-01,56.523998,57.84,56.256001,57.835999,57.835999,40552000,1.0,55.53953979826497
2019-04-02,57.66,57.888000000000005,56.776001,57.175999,57.175999,27394500,0.0,55.77331968422711
2019-04-03,57.464001,59.234001,57.433998,58.361999999999995,58.361999999999995,39597000,1.0,56.14313115790895
2019-04-04,52.377998,54.240002,52.118,53.556000000000004,53.556000000000004,118603500,0.0,55.77354099249338
2019-04-05,53.972,55.220001,53.222,54.992001,54.992001,65191500,1.0,55.66189242213718
2019-04-08,55.537998,56.231998,54.088001,54.639999,54.639999,52052000,0.0,55.51590764754615
2019-04-09,54.330002,55.0,53.922001,54.46200200000001,54.46200200000001,29520000,0.0,55.365349697896704
2019-04-10,55.348,55.675999,54.577999,55.21200200000001,55.21200200000001,35306500,1.0,55.34344288391146
2019-04-11,53.66,54.099998,53.119999,53.683998,53.683998,49179500,0.0,55.10637932906697
2019-04-12,54.043999,54.389999,53.366001,53.540001,53.540001,33730000,0.0,54.882610996343125
2019-04-15,53.726002,53.776001,51.726002,53.276001,53.276001,50193000,0.0,54.65309528257983
2019-04-16,53.150002,55.0,52.943999999999996,54.672001,54.672001,36364500,1.0,54.655796099354134
2019-04-17,54.950001,54.958,53.708,54.245998,54.245998,25632500,0.0,54.59725351373212
2019-04-18,54.245998,54.967999,53.950001,54.652,54.652,29381500,1.0,54.60507444034182
2019-04-22,53.799999,53.936001,52.495998,52.549999,52.549999,60735500,0.0,54.3114922345787
2019-04-23,52.029999,53.119999,51.150002,52.779999,52.779999,54719500,1.0,54.09270748678174
2019-04-24,52.77,53.063999,51.599998,51.731998,51.731998,53637500,0.0,53.75546327438435
2019-04-25,51.0,51.799999,49.214001,49.526001,49.526001,109247000,0.0,53.15125437804373
2019-04-26,49.299999,49.335999,46.226002,47.028,47.028,111803500,0.0,52.27650375260891
2019-04-29,47.172001,48.796001,46.433998,48.293999,48.293999,83572500,1.0,51.707574502236206
2019-04-30,48.411999,48.841999,47.400002,47.737999,47.737999,47323000,0.0,51.140492287631034
2019-05-01,47.77,48.0,46.299999,46.801998,46.801998,53522000,0.0,50.52070738939803
2019-05-02,49.104,49.425999,47.543999,48.82,48.82,90796500,1.0,50.277749190912594
2019-05-03,48.771999,51.321999,48.698002,51.006001,51.006001,118534000,1.0,50.38178516363936
2019-05-06,50.004002,51.669998,49.700001,51.068001,51.068001,54169500,1.0,50.47981599740516
2019-05-07,51.360001,51.442001,49.02,49.411999,49.411999,50657000,0.0,50.32727071206157
2019-05-08,49.388000000000005,50.119999,48.84,48.967999,48.967999,30882000,0.0,50.13308903890992
2019-05-09,48.400002,48.736000000000004,47.388000000000005,48.396,48.396,33557000,0.0,49.88493346192279
2019-05-10,47.950001,48.397999,47.203999,47.903999,47.903999,35041500,0.0,49.60194282450525
2019-05-13,46.402,46.493999,44.900002,45.402,45.402,54174000,0.0,49.00195099243307
2019-05-14,45.860001,46.900002,45.599998,46.46200200000001,46.46200200000001,36262000,1.0,48.63910113637121
2019-05-15,45.863998,46.487999,45.049999,46.389999,46.389999,36480000,0.0,48.31780083117532
2019-05-16,45.897999,46.200001,45.299999,45.666000000000004,45.666000000000004,37416500,0.0,47.93897214100742
2019-05-17,44.391998,44.448002,41.784,42.206001,42.206001,88933500,0.0,47.11997626372065
2019-05-20,40.560001,41.200001,39.049999,41.071999,41.071999,102631000,0.0,46.255979511760565
2019-05-21,39.551998,41.48,39.208,41.015999,41.015999,90019500,0.0,45.50741086722335
2019-05-22,39.82,40.787998,38.355999,38.546001,38.546001,93426000,0.0,44.5129237433343
2019-05-23,38.868,39.894001,37.243999,39.098,39.098,132735500,1.0,43.739363208572264
2019-05-24,39.966,39.995998,37.75,38.125999,38.125999,70683000,0.0,42.93745403591908
2019-05-28,38.240002,39.0,37.57,37.740002,37.740002,51564500,0.0,42.19496088793064
2019-05-29,37.419998,38.478001,37.007999,37.972,37.972,59843000,1.0,41.5916807610834
2019-05-30,37.75,38.452,37.403999,37.644001,37.644001,39632500,0.0,41.027726509500056
2019-05-31,37.02,37.984001,36.82,37.032001,37.032001,52033500,0.0,40.456908579571476
2019-06-03,37.102001,37.335999,35.397999,35.793999,35.793999,65322000,0.0,39.7907786396327
2019-06-04,36.220001,38.796001,35.922001,38.720001,38.720001,69037500,1.0,39.63781040539946
2019-06-05,39.736,40.256001,38.369999,39.318001,39.318001,67554000,1.0,39.592123347485256
2019-06-06,40.888000000000005,42.200001,40.360001,41.189999,41.189999,101211000,1.0,39.8203912978445
2019-06-07,41.0,42.167999,40.700001,40.900002,40.900002,80017500,0.0,39.97462139815242
2019-06-10,42.049999,43.388000000000005,41.801998,42.576,42.576,52925000,1.0,40.34624691270208
2019-06-11,43.827999,44.18,42.700001,43.419998,43.419998,58267500,1.0,40.7853542108875
2019-06-12,44.59,44.675999,41.799999,41.852001,41.852001,75987500,0.0,40.93773232361785
2019-06-13,42.076,42.98,41.501999,42.782001,42.782001,40841500,1.0,41.20119927738673
2019-06-14,42.25,43.330002,42.080002,42.984001,42.984001,37167000,1.0,41.45588523776005
2019-06-17,43.096001,45.400002,42.854,45.006001,45.006001,61584000,1.0,41.96304463236576
2019-06-18,45.743999,46.948002,44.512001,44.948002,44.948002,63579000,0.0,42.38946711345636
2019-06-19,45.021999,45.554001,44.21200200000001,45.285999,45.285999,32875500,1.0,42.8032573829626
2019-06-20,44.599998,45.380001,43.27,43.924,43.924,59317500,0.0,42.96336347111079
2019-06-21,43.243999,44.436001,43.099998,44.372002,44.372002,41010500,1.0,43.16459754666639
2019-06-24,44.647999,45.172001,44.203999,44.728001,44.728001,28754000,1.0,43.38794089714263
2019-06-25,44.877998,45.068001,43.897999,43.952,43.952,30910500,0.0,43.46852076897939
2019-06-26,44.062,45.445999,43.619999,43.854,43.854,42536000,0.0,43.52358923055376
2019-06-27,43.889999,44.580002,43.470001,44.568001,44.568001,31698500,1.0,43.67279091190322
2019-06-28,44.198002,45.034,44.16,44.692001,44.692001,34257000,1.0,43.8183923530599
2019-07-01,46.042,46.619999,45.256001,45.433998,45.433998,41067000,1.0,44.049193159765636
2019-07-02,45.778,45.830002,44.443999999999996,44.91,44.91,46295000,0.0,44.172165565513396
2019-07-03,47.877998,48.313999,46.902,46.98,46.98,71005500,1.0,44.573284770440054
2019-07-05,46.914001,47.09,46.16,46.619999,46.619999,35328500,0.0,44.865672517520046
2019-07-08,46.248001,46.450001,45.731998,46.068001,46.068001,29402500,0.0,45.0374337293029
2019-07-09,45.793999,46.200001,45.456001,46.012001,46.012001,30954000,0.0,45.17665762511677
2019-07-10,46.830002,47.787998,46.627998,47.784,47.784,45728500,1.0,45.54913510724294
2019-07-11,47.627998,48.299999,47.16,47.720001,47.720001,37572000,0.0,45.85925880620824
2019-07-12,47.950001,49.076,47.942001,49.015999,49.015999,46002500,1.0,46.310221691035636
2019-07-15,49.599998,50.883999,48.972,50.700001,50.700001,55000500,1.0,46.93733302088769
2019-07-16,49.860001,50.706001,49.585999,50.476002,50.476002,40745000,0.0,47.44285716076087
2019-07-17,51.133999,51.661999,50.669998,50.972,50.972,48823500,1.0,47.94702042350932
2019-07-18,51.009998,51.150002,50.377998,50.708,50.708,23793000,0.0,48.3414460772937
2019-07-19,51.138000000000005,51.992001,50.924,51.63600200000001,51.63600200000001,35242000,1.0,48.812096923394606
2019-07-22,51.75,52.43,50.838001,51.13600200000001,51.13600200000001,34212000,0.0,49.14408336290966
2019-07-23,51.341999,52.096001,50.900002,52.034,52.034,25115500,1.0,49.556928596779706
2019-07-24,51.833999999999996,53.214001,51.632,52.976002,52.976002,55364000,1.0,50.04536765438261
2019-07-25,46.700001,46.900002,45.110001,45.763999999999996,45.763999999999996,112091500,0.0,49.43374370375653
2019-07-26,45.383999,46.051998,44.450001,45.608002,45.608002,50138500,0.0,48.88720917464845
2019-07-29,45.417999,47.188,45.206001,47.153999,47.153999,46366500,1.0,48.63960772112724
2019-07-30,46.580002,48.672001,46.436001,48.452,48.452,40545000,1.0,48.61280661810906
2019-07-31,48.599998,49.335999,47.330002,48.321999,48.321999,45891000,0.0,48.57126267266491
2019-08-01,48.529999,48.902,46.354,46.77,46.77,41297500,0.0,48.313939433712775
2019-08-02,46.27,47.254002,45.846001,46.868,46.868,30682500,1.0,48.10737665746809
2019-08-05,45.919998,46.273998,45.155998,45.664001,45.664001,35141500,0.0,47.7583229921155
2019-08-06,46.375999,46.5,45.150002,46.150002,46.150002,27821000,1.0,47.52856285038472
2019-08-07,45.299999,46.714001,45.16,46.683998,46.683998,23882500,1.0,47.40791072890119
2019-08-08,46.889999,47.959999,46.529999,47.66,47.66,26371500,1.0,47.44392348191531
2019-08-09,47.209999,47.792,46.762001,47.001999,47.001999,19491000,0.0,47.38079141307027
2019-08-12,46.598,47.153999,45.75,45.801998,45.801998,23319500,0.0,47.155249496917385
2019-08-13,45.762001,47.200001,45.509998,47.0,47.0,24240500,1.0,47.13307099735776
2019-08-14,46.242001,46.299999,43.338001,43.924,43.924,47813000,0.0,46.674632283449505
2019-08-15,44.172001,44.312,42.310001,43.127998,43.127998,40798000,0.0,46.16797024295671
2019-08-16,43.332001,44.448002,43.203999,43.987999,43.987999,25492500,1.0,45.856545779677184
2019-08-19,44.841999,45.56600200000001,44.34,45.366001,45.366001,26548000,1.0,45.78646795400901
2019-08-20,45.523998,45.818001,44.908001,45.172001,45.172001,20626000,0.0,45.69868696057915
2019-08-21,44.402,44.644001,43.52,44.166000000000004,44.166000000000004,38971500,0.0,45.479731680496414
2019-08-22,44.560001,45.080002,43.644001,44.43,44.43,32795000,1.0,45.32977001185407
2019-08-23,43.993999,44.234001,42.200001,42.279999,42.279999,42693000,0.0,44.89408843873206
2019-08-26,42.720001,43.004002,42.307999,43.0,43.0,25259500,1.0,44.623504376056054
2019-08-27,43.147999,43.759998,42.405998,42.81600200000001,42.81600200000001,27081000,0.0,44.3652897509052
2019-08-28,42.737999,43.450001,42.46200200000001,43.118,43.118,16127500,1.0,44.187105500775886
2019-08-29,43.799999,44.68,43.599998,44.341999,44.341999,25897500,1.0,44.209233143522184
2019-08-30,45.830002,46.487999,44.841999,45.122002,45.122002,46603000,1.0,44.33962869444759
2019-09-03,44.81600200000001,45.790001,44.632,45.001999,45.001999,26770500,0.0,44.434253023812225
2019-09-04,45.377998,45.692001,43.841999,44.13600200000001,44.13600200000001,28805000,0.0,44.39164573469619
2019-09-05,44.5,45.959999,44.169998,45.916000000000004,45.916000000000004,36976500,1.0,44.60941062973959
2019-09-06,45.439999,45.928001,45.034,45.490002,45.490002,20947000,0.0,44.73520939691965
2019-09-09,46.0,46.751999,45.846001,46.358002,46.358002,24013500,1.0,44.967036911645415
2019-09-10,46.16,47.108002,45.787998,47.108002,47.108002,24418500,1.0,45.272889067124645
2019-09-11,47.476002,49.633999,47.200001,49.419998,49.419998,50214000,1.0,45.865333200392556
2019-09-12,49.540001,50.700001,48.880001,49.174,49.174,42906000,0.0,46.33799988605075
2019-09-13,49.391998,49.689999,48.973999,49.040001,49.040001,26565500,0.0,46.724000045186365
2019-09-16,49.200001,49.486000000000004,48.234001,48.562,48.562,23640500,0.0,46.9865714673026
2019-09-17,48.493999,49.119999,48.074001,48.958,48.958,19327000,1.0,47.2682041148308
2019-09-18,49.0,49.633999,48.473999,48.698002,48.698002,20851000,0.0,47.472460955569254
2019-09-19,49.200001,49.588001,48.967999,49.32,49.32,23979000,1.0,47.73639510477364
2019-09-20,49.298,49.389999,47.632,48.124001,48.124001,31765000,0.0,47.79176737552027
2019-09-23,48.0,49.035999,47.844002,48.245998,48.245998,21701000,1.0,47.85665746473166
2019-09-24,48.304001,48.397999,44.521999,44.641998,44.641998,64457500,0.0,47.397420398341424
2019-09-25,44.911999,45.796001,43.672001,45.740002,45.740002,47135500,1.0,47.16064634143551
2019-09-26,46.132,48.661999,45.48,48.512001,48.512001,59422500,1.0,47.35369700694473
2019-09-27,48.439999,49.742001,47.745998,48.425999,48.425999,55582000,0.0,47.506883005952616
2019-09-30,48.599998,48.796001,47.222,48.174,48.174,29399000,0.0,47.602185433673675
2019-10-01,48.299999,49.189999,47.826,48.938,48.938,30813000,1.0,47.793016086006006
2019-10-02,48.658001,48.93,47.88600200000001,48.625999,48.625999,28157000,0.0,47.91201364514801
2019-10-03,46.372002,46.896,44.855999,46.605999,46.605999,75422500,0.0,47.72544012441257
2019-10-04,46.321999,46.956001,45.613998,46.285999,46.285999,39975000,0.0,47.519805678067925
2019-10-07,45.959999,47.71200200000001,45.709999,47.543999,47.543999,40321000,1.0,47.523261866915355
2019-10-08,47.174,48.787998,46.900002,48.009998,48.009998,43391000,1.0,47.59279560021316
2019-10-09,48.263999999999996,49.459999,48.130001,48.905998,48.905998,34472000,1.0,47.780395943039856
2019-10-10,49.056000000000004,49.855999,48.31600200000001,48.948002,48.948002,31416500,1.0,47.94719680831987
2019-10-11,49.43,50.216,49.361999999999995,49.577999,49.577999,42377000,1.0,48.180168549988466
2019-10-14,49.580002,51.709999,49.425999,51.391998,51.391998,51025000,1.0,48.63900132856154
2019-10-15,51.540001,52.0,50.824001,51.577999,51.577999,32164000,1.0,49.058858138767036
2019-10-16,51.478001,52.419998,51.383999,51.950001,51.950001,33420500,1.0,49.4718785475146
2019-10-17,52.5,52.956001,52.034,52.394001,52.394001,23846500,1.0,49.88932461215537
2019-10-18,52.139999,52.560001,51.02,51.389999,51.389999,28749000,0.0,50.103706667561745
2019-10-21,51.666000000000004,51.900002,50.035999,50.700001,50.700001,25101500,0.0,50.18889157219578
2019-10-22,50.863998,51.666000000000004,50.169998,51.116001,51.116001,23004000,1.0,50.32133577616781
2019-10-23,50.900002,51.228001,50.27,50.936001,50.936001,26305500,0.0,50.409145093858115
2019-10-24,59.674,60.986000000000004,57.84,59.936001,59.936001,148604500,1.0,51.77012450902124
2019-10-25,59.543999,66.0,59.222,65.625999,65.625999,150030500,1.0,53.74953515058963
2019-10-28,65.508003,68.167999,64.519997,65.542,65.542,94351500,0.0,55.43417298621968
2019-10-29,63.998001,64.860001,62.950001,63.243999,63.243999,63421500,0.0,56.54986241675973
2019-10-30,62.599998,63.757999,61.993999,63.001999,63.001999,48209000,0.0,57.47159621436548
2019-10-31,62.619999,63.799999,62.599998,62.984001,62.984001,25335000,0.0,58.259082612313264
2019-11-01,63.263999999999996,63.296001,61.959999,62.661999,62.661999,31919500,0.0,58.888070667697086
2019-11-04,62.959999,64.388,61.852001,63.493999,63.493999,43935000,1.0,59.54606042945464
2019-11-05,63.924,64.702003,63.223999,63.443999999999996,63.443999999999996,34717000,0.0,60.10290893953255
2019-11-06,63.599998,65.344002,62.900002,65.316002,65.316002,39704500,1.0,60.84763651959933
2019-11-07,65.82800300000001,68.300003,65.603996,67.108002,67.108002,72336500,1.0,61.74197444537085
2019-11-08,66.900002,67.491997,66.5,67.428001,67.428001,30346000,1.0,62.55426395317501
2019-11-11,68.790001,69.837997,68.400002,69.01799799999999,69.01799799999999,49933500,1.0,63.47765453129286
2019-11-12,69.379997,70.07399699999999,68.807999,69.986,69.986,36797000,1.0,64.40741816967959
2019-11-13,71.0,71.265999,69.03600300000001,69.222,69.222,42100500,0.0,65.09521557401106
2019-11-14,69.222,70.76799799999998,68.582001,69.870003,69.870003,32324500,1.0,65.77732806343805
2019-11-15,70.127998,70.559998,69.67199699999999,70.433998,70.433998,24045000,1.0,66.44256662580403
2019-11-18,70.584,70.629997,69.220001,69.998001,69.998001,22002000,0.0,66.95048582211774
2019-11-19,70.349998,71.998001,69.559998,71.903999,71.903999,38624000,1.0,67.65813056181521
2019-11-20,72.0,72.239998,69.914001,70.444,70.444,33625500,0.0,68.05611191012733
2019-11-21,70.902,72.167999,70.800003,70.966003,70.966003,30550000,1.0,68.47181063725199
2019-11-22,68.031998,68.199997,66.0,66.608002,66.608002,84353000,0.0,68.2055522605017
2019-11-25,68.863998,68.914001,66.891998,67.26799799999999,67.26799799999999,61697500,1.0,68.07161593757289
2019-11-26,67.054001,67.099998,65.41999799999999,65.783997,65.783997,39737000,0.0,67.74481323220533
2019-11-27,66.22399899999999,66.78600300000001,65.71399699999999,66.258003,66.258003,27778000,1.0,67.53241177046172
2019-11-29,66.222,66.251999,65.5,65.987999,65.987999,12328000,0.0,67.31178137468147
2019-12-02,65.879997,67.27600100000001,65.737999,66.97399899999999,66.97399899999999,30372500,1.0,67.26352674972698
2019-12-03,66.524002,67.582001,66.438004,67.239998,67.239998,32868500,1.0,67.26016549976599
2019-12-04,67.550003,67.571999,66.57,66.606003,66.606003,27665000,0.0,67.16671371408513
2019-12-05,66.566002,66.884003,65.449997,66.07399699999999,66.07399699999999,18623000,0.0,67.01061132635868
2019-12-06,67.0,67.772003,66.954002,67.178001,67.178001,38062000,1.0,67.03452413687887
2019-12-09,67.318001,68.889999,67.015999,67.905998,67.905998,45115500,1.0,67.15902040303904
2019-12-10,67.991997,70.146004,67.862,69.76799799999999,69.76799799999999,44141500,1.0,67.53173148831917
2019-12-11,70.375999,71.438004,70.218002,70.540001,70.540001,34489000,1.0,67.96148427570215
2019-12-12,70.984001,72.547997,70.646004,71.935997,71.935997,38819500,1.0,68.52927180774469
2019-12-13,72.209999,73.042,70.928001,71.678001,71.678001,32854500,0.0,68.97909026378116
2019-12-16,72.510002,76.722,72.5,76.300003,76.300003,90871000,1.0,70.02493494038386
2019-12-17,75.797997,77.099998,75.18,75.797997,75.797997,42484000,0.0,70.8496580917576
2019-12-18,76.125999,79.043999,76.115997,78.629997,78.629997,70605000,1.0,71.96113507864938
2019-12-19,79.46399699999998,81.370003,79.300003,80.807999,80.807999,90535500,1.0,73.22497278169946
2019-12-20,82.057999,82.599998,80.038002,81.11799599999998,81.11799599999998,73763500,1.0,74.35254752717096
2019-12-23,82.356003,84.402,82.0,83.844002,83.844002,66598000,1.0,75.70846959471797
2019-12-24,83.67199699999998,85.094002,82.538002,85.050003,85.050003,40273500,1.0,77.04297436690112
2019-12-26,85.582001,86.695999,85.269997,86.188004,86.188004,53169500,1.0,78.34940717162954
2019-12-27,87.0,87.061996,85.22200000000001,86.07599599999998,86.07599599999998,49728500,0.0,79.45320557568246
2019-12-30,85.758003,85.800003,81.851997,82.940002,82.940002,62932000,0.0,79.95131935058497
2019-12-31,81.0,84.258003,80.416,83.666,83.666,51428500,1.0,80.48198801478712
2020-01-02,84.900002,86.139999,84.342003,86.052002,86.052002,47660500,1.0,81.27770429838895
